# num-edges , num-vertices ,VariableBandWidthMesh_16_16
960,256
# edge num,from,to,edge price 
900,232,233,1
901,233,232,1
902,232,248,1
903,248,232,1
904,233,234,1
905,234,233,1
906,233,249,1
907,249,233,1
908,234,235,1
909,235,234,1
910,234,250,1
911,250,234,1
912,235,236,1
913,236,235,1
914,235,251,1
915,251,235,1
916,236,237,1
917,237,236,1
918,236,252,1
919,252,236,1
920,237,238,1
921,238,237,1
922,237,253,1
923,253,237,1
924,238,239,1
925,239,238,1
926,238,254,1
927,254,238,1
928,239,255,1
929,255,239,1
930,240,241,1
931,241,240,1
932,241,242,1
933,242,241,1
934,242,243,1
935,243,242,1
936,243,244,1
937,244,243,1
938,244,245,1
939,245,244,1
940,245,246,1
941,246,245,1
942,246,247,1
943,247,246,1
944,247,248,1
945,248,247,1
946,248,249,1
947,249,248,1
948,249,250,1
949,250,249,1
950,250,251,1
951,251,250,1
952,251,252,1
953,252,251,1
954,252,253,1
955,253,252,1
956,253,254,1
957,254,253,1
958,254,255,1
959,255,254,1
